block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
131;sgemm;kernel.c:54-55;55.97;4.38;;;;;;
134;sgemm;kernel.c:54-55;4.28;0.33;;;;;;
136;sgemm;kernel.c:54-55;2.94;0.23;;;;;;
135;sgemm;kernel.c:54-55;2.88;0.22;;;;;;
139;sgemm;kernel.c:54-55;2.75;0.21;;;;;;
137;sgemm;kernel.c:54-55;2.49;0.19;;;;;;
138;sgemm;kernel.c:54-55;2.17;0.17;;;;;;
145;sgemm;kernel.c:54-55;1.98;0.16;;;;;;
142;sgemm;kernel.c:54-55;1.73;0.13;;;;;;
111;sgemm;kernel.c:54-55;1.73;0.13;;;;;;
141;sgemm;kernel.c:54-55;1.66;0.13;;;;;;
147;sgemm;kernel.c:54-55;1.66;0.13;;;;;;
140;sgemm;kernel.c:54-55;1.6;0.12;;;;;;
130;sgemm;kernel.c:54-54;1.41;0.11;;;;;;
107;sgemm;kernel.c:54-55;1.41;0.11;;;;;;
105;sgemm;kernel.c:54-55;1.34;0.1;;;;;;
115;sgemm;kernel.c:54-55;1.34;0.1;;;;;;
143;sgemm;kernel.c:54-55;1.28;0.1;;;;;;
113;sgemm;kernel.c:54-55;1.28;0.1;;;;;;
146;sgemm;kernel.c:54-55;1.15;0.09;;;;;;
103;sgemm;kernel.c:54-55;1.09;0.08;;;;;;
109;sgemm;kernel.c:54-55;1.09;0.08;;;;;;
144;sgemm;kernel.c:54-55;0.96;0.08;;;;;;
133;sgemm;kernel.c:53-53;0.77;0.06;;;;;;
98;sgemm;kernel.c:54-54;0.64;0.05;;;;;;
96;sgemm;kernel.c:54-55;0.51;0.04;;;;;;
132;sgemm;kernel.c:54-54;0.51;0.04;;;;;;
101;sgemm;kernel.c:54-55;0.51;0.04;;;;;;
99;sgemm;kernel.c:54-54;0.26;0.02;;;;;;
150;sgemm;kernel.c:53-53;0.19;0.01;;;;;;
93;sgemm;kernel.c:50-53;0.06;0;;;;;;
95;sgemm;kernel.c:53-55;0.06;0;;;;;;
100;sgemm;kernel.c:54-54;0.06;0;;;;;;
116;sgemm;kernel.c:54-54;0.06;0;;;;;;
33;sgemm;;0.06;0;;;;;;
