block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
100;sgemm;kernel.c:54-55;82.79;6.13;6.13;6.13;6.13;0;1;
103;sgemm;kernel.c:54-55;11.27;0.83;0.83;0.83;0.83;0;1;
101;sgemm;kernel.c:54-54;2.9;0.21;0.21;0.21;0.21;0;1;
98;sgemm;kernel.c:50-54;1.08;0.08;0.08;0.08;0.08;0;1;
102;sgemm;kernel.c:53-53;0.61;0.04;0.04;0.04;0.04;0;1;
96;sgemm;kernel.c:54-54;0.54;0.04;0.04;0.04;0.04;0;1;
99;sgemm;kernel.c:50-50;0.34;0.02;0.02;0.02;0.02;0;1;
106;sgemm;kernel.c:58-58;0.13;0.01;0.01;0.01;0.01;0;1;
95;sgemm;kernel.c:50-55;0.07;0;0;0;0;0;1;
74;sgemm;;0.07;0;0;0;0;0;1;
33;sgemm;;0.07;0;0;0;0;0;1;
